"","voxel_size_x in mm","voxel_size_y in mm","voxel_size_z in mm","area in mm2","volume in mm3","SA_Vol in mm-1","centroid_x in pixels","centroid_y in pixels","centroid_z in pixels","weighted_centroid_x in pixels","weighted_centroid_y in pixels","weighted_centroid_z in pixels"
"SAMPLE-001-T2",0.00703299,0.00703299,0.00703299,85.0294923738655,0.601608825595608,141.336843404324,333.457549027261,279.113276030057,22.1614535719139,334.00980401989,278.193092274162,22.171717010377
"SAMPLE-002-T2",0.00703299,0.00703299,0.00703299,223.468048324939,10.0871960632824,22.1536338664386,343.666814326506,318.446340092533,342.486726340324,344.509935860116,318.648206391911,344.406233917641
"SAMPLE-003-T2",0.00703299,0.00703299,0.00703299,215.58408945332,13.8989006243206,15.5108735057855,363.020697418235,312.125229160312,301.237065374428,363.861785541254,311.783244611612,302.006036179676
"SAMPLE-004-T2",0.00703299,0.00703299,0.00703299,177.537924241768,6.87359899192187,25.8289615746303,423.916586673442,376.186198771039,378.346729952708,423.85840391052,376.506957975229,379.217684612821
"SAMPLE-005-T2",0.00703299,0.00703299,0.00703299,66.2187455179578,2.15678500729088,30.7025249591914,256.481256323659,252.554197619296,159.857861482652,257.184873822649,253.259776910145,161.395759435439
"SAMPLE-008-T2",0.00703299,0.00703299,0.00703299,70.3371482616655,4.60874532979839,15.2616695496044,223.914486814914,200.554817427462,259.858970735889,224.475819721808,200.585137832229,260.737043448764
"SAMPLE-009-T2",0.00703299,0.00703299,0.00703299,172.073074738153,12.490367974483,13.7764615974235,279.760488705968,257.737934063547,417.707462479138,279.848094278563,257.013505624122,419.926622203279
"SAMPLE-011-T2",0.00703299,0.00703299,0.00703299,114.549392657297,9.25138247808966,12.3818675672083,229.948389651541,311.022092050058,366.128648927799,230.480871956072,311.048545377473,366.174419043893
"SAMPLE-012-T2",0.00703299,0.00703299,0.00703299,136.90628211881,15.1217233215447,9.05361639064989,283.741291573953,290.129432923992,335.860330601251,283.652328155546,290.144193461461,336.696577329494
"SAMPLE-013-T2",0.00703299,0.00703299,0.00703299,145.810098266325,10.3453424465131,14.0942746960947,263.211704986513,273.052076610236,492.810718339328,263.019437722692,272.225543128909,494.327975391418
"SAMPLE-014-T2",0.00703299,0.00703299,0.00703299,72.3168015171866,6.82629877883219,10.5938523730364,233.876414074406,230.109062760297,258.14590305914,234.286863021926,230.311981901733,258.91779603641
"SAMPLE-015-T2",0.00703299,0.00703299,0.00703299,40.2851816217331,1.95485689453573,20.6077394894426,167.319457813155,157.881566127736,159.569628603435,167.135799726355,157.169637836323,160.84314341509
"SAMPLE-018-T2",0.00703311,0.00703311,0.00703311,52.9223127277317,3.8049557864063,13.9087851997659,210.552544880875,197.90811595732,175.995692236911,210.57525651222,197.905729126607,176.457145787887
"SAMPLE-019-T2",0.00703299,0.00703299,0.00703299,114.237339204939,9.04005485251784,12.6367971288494,295.039724134226,274.252726356594,303.243394312228,295.092828489447,274.20575901973,304.261667892339
